transaction_id,transaction_date,inventory_id,quantity_consumed,department,staff_id,shift,consumption_reason,remaining_stock,batch_lot
TX00000000,2025-01-01,INV0001,15,Frozen,S002,Night,Sample,62,BATCH2409
TX00000001,2025-01-01,INV0001,17,Bakery,S009,Night,Spoilage,45,BATCH8343
TX00000100,2025-01-02,INV0001,7,Bakery,S004,Morning,Routine,66,BATCH7655
TX00000200,2025-01-03,INV0001,17,Beverage,S010,Evening,Sample,73,BATCH3491
TX00000201,2025-01-03,INV0001,5,Bakery,S008,Morning,Routine,68,BATCH6222
TX00000300,2025-01-04,INV0001,19,Bakery,S019,Evening,Sample,32,BATCH9932
TX00000301,2025-01-04,INV0001,9,Beverage,S001,Evening,Spoilage,23,BATCH1512
TX00000400,2025-01-05,INV0001,3,Beverage,S016,Night,Routine,51,BATCH8253
TX00000401,2025-01-05,INV0001,14,Beverage,S005,Night,Routine,37,BATCH3141
TX00000402,2025-01-05,INV0001,14,Frozen,S020,Morning,Spoilage,23,BATCH7617
TX00000500,2025-01-06,INV0001,5,Beverage,S002,Night,Spoilage,58,BATCH7905
TX00000501,2025-01-06,INV0001,19,Dairy,S001,Morning,Routine,39,BATCH5611
TX00000600,2025-01-07,INV0001,1,Bakery,S008,Evening,Sample,46,BATCH8723
TX00000601,2025-01-07,INV0001,13,Beverage,S014,Evening,Routine,33,BATCH9945
TX00000602,2025-01-07,INV0001,3,Bakery,S008,Morning,Spoilage,30,BATCH1417
TX00000700,2025-01-08,INV0001,16,Beverage,S018,Morning,Sample,36,BATCH3143
TX00000701,2025-01-08,INV0001,5,Beverage,S017,Night,Routine,31,BATCH3914
TX00000702,2025-01-08,INV0001,9,Frozen,S017,Morning,Spoilage,22,BATCH9787
TX00000800,2025-01-09,INV0001,19,Beverage,S009,Night,Spoilage,44,BATCH3782
TX00000900,2025-01-10,INV0001,13,Snack,S010,Evening,Sample,33,BATCH7541
TX00000901,2025-01-10,INV0001,5,Produce,S011,Night,Spoilage,28,BATCH5846
TX00000902,2025-01-10,INV0001,12,Bakery,S010,Evening,Routine,16,BATCH2542
TX00001000,2025-01-11,INV0001,5,Snack,S005,Evening,Sample,48,BATCH2365
TX00001001,2025-01-11,INV0001,17,Bakery,S013,Evening,Sample,31,BATCH2810
TX00001100,2025-01-12,INV0001,9,Bakery,S003,Morning,Spoilage,56,BATCH1504
TX00001101,2025-01-12,INV0001,17,Bakery,S001,Evening,Routine,39,BATCH1133
TX00001102,2025-01-12,INV0001,12,Snack,S013,Morning,Sample,27,BATCH5175
TX00001200,2025-01-13,INV0001,12,Dairy,S016,Evening,Routine,16,BATCH7819
TX00001201,2025-01-13,INV0001,8,Dairy,S018,Morning,Routine,8,BATCH5835
TX00001202,2025-01-13,INV0001,8,Bakery,S001,Morning,Routine,0,BATCH3779
TX00001300,2025-01-14,INV0001,15,Bakery,S002,Evening,Spoilage,19,BATCH8409
TX00001400,2025-01-15,INV0001,17,Snack,S001,Evening,Routine,39,BATCH8266
TX00001401,2025-01-15,INV0001,1,Snack,S016,Night,Spoilage,38,BATCH3000
TX00001402,2025-01-15,INV0001,5,Snack,S006,Night,Routine,33,BATCH8190
TX00001500,2025-01-16,INV0001,1,Produce,S013,Morning,Spoilage,63,BATCH5544
TX00001501,2025-01-16,INV0001,17,Dairy,S008,Night,Spoilage,46,BATCH1249
TX00001600,2025-01-17,INV0001,17,Snack,S014,Evening,Sample,50,BATCH5530
TX00001700,2025-01-18,INV0001,1,Beverage,S010,Night,Routine,61,BATCH3180
TX00001701,2025-01-18,INV0001,4,Dairy,S017,Evening,Routine,57,BATCH4579
TX00001800,2025-01-19,INV0001,16,Produce,S019,Night,Routine,58,BATCH8830
TX00001801,2025-01-19,INV0001,16,Produce,S016,Morning,Sample,42,BATCH2887
TX00001802,2025-01-19,INV0001,3,Produce,S018,Morning,Spoilage,39,BATCH8570
TX00001900,2025-01-20,INV0001,1,Snack,S009,Evening,Spoilage,56,BATCH3593
TX00001901,2025-01-20,INV0001,17,Frozen,S013,Night,Routine,39,BATCH7937
TX00002000,2025-01-21,INV0001,4,Bakery,S008,Morning,Sample,75,BATCH2276
TX00002100,2025-01-22,INV0001,6,Produce,S019,Night,Routine,55,BATCH6750
TX00002101,2025-01-22,INV0001,5,Beverage,S010,Night,Routine,50,BATCH2296
TX00002200,2025-01-23,INV0001,18,Beverage,S015,Evening,Spoilage,56,BATCH8943
TX00002300,2025-01-24,INV0001,13,Frozen,S005,Morning,Routine,70,BATCH2460
TX00002301,2025-01-24,INV0001,6,Frozen,S016,Evening,Sample,64,BATCH4517
TX00002400,2025-01-25,INV0001,6,Produce,S002,Night,Sample,63,BATCH7316
TX00002401,2025-01-25,INV0001,12,Snack,S006,Evening,Spoilage,51,BATCH9915
TX00002500,2025-01-26,INV0001,4,Snack,S011,Night,Routine,67,BATCH1009
TX00002501,2025-01-26,INV0001,5,Dairy,S012,Evening,Routine,62,BATCH6287
TX00002502,2025-01-26,INV0001,2,Beverage,S001,Night,Routine,60,BATCH3832
TX00002600,2025-01-27,INV0001,8,Produce,S009,Morning,Spoilage,29,BATCH7941
TX00002700,2025-01-28,INV0001,4,Bakery,S013,Evening,Routine,54,BATCH7943
TX00002701,2025-01-28,INV0001,19,Snack,S006,Morning,Sample,35,BATCH5670
TX00002800,2025-01-29,INV0001,7,Produce,S006,Evening,Sample,33,BATCH2202
TX00002801,2025-01-29,INV0001,8,Dairy,S020,Night,Sample,25,BATCH6788
TX00002802,2025-01-29,INV0001,1,Beverage,S007,Night,Routine,24,BATCH2120
TX00002900,2025-01-30,INV0001,15,Beverage,S012,Morning,Spoilage,15,BATCH1094
TX00003000,2025-01-31,INV0001,1,Beverage,S011,Morning,Routine,24,BATCH6959
TX00003100,2025-02-01,INV0001,14,Bakery,S011,Night,Routine,39,BATCH6732
TX00003200,2025-02-02,INV0001,9,Dairy,S020,Morning,Routine,30,BATCH8970
TX00003300,2025-02-03,INV0001,7,Beverage,S006,Morning,Routine,25,BATCH7320
TX00003301,2025-02-03,INV0001,11,Frozen,S018,Morning,Routine,14,BATCH1966
TX00003302,2025-02-03,INV0001,14,Beverage,S009,Morning,Spoilage,0,BATCH9533
TX00003400,2025-02-04,INV0001,0,Produce,S018,Morning,Spoilage,0,BATCH6490
TX00003401,2025-02-04,INV0001,0,Dairy,S002,Evening,Routine,0,BATCH6797
TX00003500,2025-02-05,INV0001,0,Dairy,S001,Night,Sample,0,BATCH8643
