Date,Product_ID,Category,Region,Consumption_Units
2022-01-01,P0001,Groceries,North,127
2022-01-01,P0002,Toys,South,150
2022-01-01,P0003,Toys,West,65
2022-01-01,P0004,Toys,North,61
2022-01-01,P0005,Electronics,East,14
2022-01-01,P0006,Groceries,South,128
2022-01-01,P0007,Furniture,East,97
2022-01-01,P0008,Clothing,North,312
2022-01-01,P0009,Electronics,West,175
2022-01-01,P0010,Toys,South,28
2022-01-01,P0011,Furniture,South,150
2022-01-01,P0012,Clothing,West,24
2022-01-01,P0013,Toys,South,42
2022-01-01,P0014,Clothing,West,12
2022-01-01,P0015,Clothing,North,369
2022-01-01,P0016,Electronics,North,255
2022-01-01,P0017,Toys,West,246
2022-01-01,P0018,Clothing,South,151
2022-01-01,P0019,Clothing,East,257
2022-01-01,P0020,Toys,East,99
2022-01-01,P0001,Groceries,South,104
2022-01-01,P0002,Clothing,West,141
2022-01-01,P0003,Furniture,East,182
2022-01-01,P0004,Toys,West,63
2022-01-01,P0005,Toys,West,156
2022-01-01,P0006,Furniture,North,250
2022-01-01,P0007,Groceries,West,393
2022-01-01,P0008,Electronics,West,29
2022-01-01,P0009,Clothing,South,9
2022-01-01,P0010,Electronics,North,126
2022-01-01,P0011,Groceries,West,13
2022-01-01,P0012,Groceries,East,25
2022-01-01,P0013,Clothing,East,283
2022-01-01,P0014,Electronics,East,359
2022-01-01,P0015,Toys,South,129
2022-01-01,P0016,Toys,South,63
2022-01-01,P0017,Groceries,West,373
2022-01-01,P0018,Groceries,North,160
2022-01-01,P0019,Toys,East,15
2022-01-01,P0020,Toys,West,101
2022-01-01,P0001,Toys,South,147
2022-01-01,P0002,Electronics,West,4
2022-01-01,P0003,Groceries,South,77
2022-01-01,P0004,Toys,South,31
2022-01-01,P0005,Clothing,West,325
2022-01-01,P0006,Groceries,North,163
2022-01-01,P0007,Electronics,North,34
2022-01-01,P0008,Toys,North,47
2022-01-01,P0009,Groceries,South,15
2022-01-01,P0010,Groceries,South,126
2022-01-01,P0011,Toys,East,232
2022-01-01,P0012,Electronics,North,175
2022-01-01,P0013,Furniture,North,17
2022-01-01,P0014,Electronics,South,369
2022-01-01,P0015,Clothing,West,260
2022-01-01,P0016,Groceries,South,347
2022-01-01,P0017,Clothing,East,150
2022-01-01,P0018,Toys,West,70
2022-01-01,P0019,Clothing,East,249
2022-01-01,P0020,Electronics,North,370
2022-01-01,P0001,Toys,South,271
2022-01-01,P0002,Clothing,North,180
2022-01-01,P0003,Clothing,West,344
2022-01-01,P0004,Groceries,West,0
2022-01-01,P0005,Groceries,North,200
2022-01-01,P0006,Electronics,East,382
2022-01-01,P0007,Electronics,West,190
2022-01-01,P0008,Furniture,South,51
2022-01-01,P0009,Furniture,North,40
2022-01-01,P0010,Groceries,East,104
2022-01-01,P0011,Electronics,West,46
2022-01-01,P0012,Electronics,North,9
2022-01-01,P0013,Furniture,East,56
2022-01-01,P0014,Electronics,West,63
2022-01-01,P0015,Clothing,South,181
2022-01-01,P0016,Groceries,South,94
2022-01-01,P0017,Electronics,South,46
2022-01-01,P0018,Groceries,West,8
2022-01-01,P0019,Groceries,West,172
2022-01-01,P0020,Clothing,West,68
2022-01-01,P0001,Toys,West,77
2022-01-01,P0002,Clothing,West,298
2022-01-01,P0003,Electronics,North,64
2022-01-01,P0004,Furniture,West,300
2022-01-01,P0005,Clothing,West,21
2022-01-01,P0006,Groceries,North,176
2022-01-01,P0007,Clothing,South,131
2022-01-01,P0008,Toys,West,317
2022-01-01,P0009,Groceries,West,97
2022-01-01,P0010,Clothing,East,8
2022-01-01,P0011,Groceries,West,104
2022-01-01,P0012,Electronics,West,87
2022-01-01,P0013,Furniture,South,238
2022-01-01,P0014,Electronics,South,171
2022-01-01,P0015,Furniture,West,250
2022-01-01,P0016,Clothing,South,11
2022-01-01,P0017,Electronics,East,371
2022-01-01,P0018,Furniture,West,107
2022-01-01,P0019,Groceries,South,106
2022-01-01,P0020,Electronics,South,101
2022-01-02,P0001,Groceries,West,81
2022-01-02,P0002,Clothing,West,163
2022-01-02,P0003,Clothing,South,464
2022-01-02,P0004,Groceries,East,116
2022-01-02,P0005,Electronics,East,200
2022-01-02,P0006,Furniture,East,58
2022-01-02,P0007,Electronics,North,56
2022-01-02,P0008,Clothing,East,74
2022-01-02,P0009,Toys,South,54
2022-01-02,P0010,Clothing,North,39
2022-01-02,P0011,Furniture,East,12
2022-01-02,P0012,Furniture,East,56
2022-01-02,P0013,Toys,North,31
2022-01-02,P0014,Electronics,West,25
