date,product_name,demand_qty
2025-01-01,Milk 1L,23
2025-01-02,Milk 1L,24
2025-01-03,Milk 1L,14
2025-01-04,Milk 1L,15
2025-01-05,Milk 1L,9
2025-01-06,Milk 1L,14
2025-01-07,Milk 1L,16
2025-01-08,Milk 1L,10
2025-01-09,Milk 1L,10
2025-01-10,Milk 1L,5
2025-01-11,Milk 1L,1
2025-01-12,Milk 1L,12
2025-01-13,Milk 1L,6
2025-01-14,Milk 1L,0
2025-01-15,Milk 1L,5
2025-01-16,Milk 1L,4
2025-01-17,Milk 1L,3
2025-01-18,Milk 1L,3
2025-01-19,Milk 1L,0
2025-01-20,Milk 1L,2
2025-01-21,Milk 1L,0
2025-01-22,Milk 1L,0
2025-01-23,Milk 1L,0
2025-01-24,Milk 1L,1
2025-01-25,Milk 1L,4
2025-01-26,Milk 1L,1
2025-01-27,Milk 1L,0
2025-01-28,Milk 1L,4
2025-01-29,Milk 1L,2
2025-01-30,Milk 1L,0
2025-01-31,Milk 1L,0
2025-02-01,Milk 1L,2
2025-02-02,Milk 1L,1
2025-02-03,Milk 1L,4
2025-02-04,Milk 1L,0
2025-02-05,Milk 1L,0
2025-02-06,Milk 1L,3
2025-02-07,Milk 1L,1
2025-02-08,Milk 1L,3
2025-02-09,Milk 1L,3
2025-02-10,Milk 1L,0
2025-02-11,Milk 1L,3
2025-02-12,Milk 1L,3
2025-02-13,Milk 1L,0
2025-02-14,Milk 1L,2
2025-02-15,Milk 1L,3
2025-02-16,Milk 1L,0
2025-02-17,Milk 1L,2
2025-02-18,Milk 1L,0
2025-02-19,Milk 1L,4
2025-02-20,Milk 1L,3
2025-02-21,Milk 1L,1
2025-02-22,Milk 1L,3
2025-02-23,Milk 1L,0
2025-02-24,Milk 1L,0
2025-02-25,Milk 1L,2
2025-02-26,Milk 1L,1
2025-02-27,Milk 1L,2
2025-02-28,Milk 1L,2
2025-03-01,Milk 1L,2
2025-03-02,Milk 1L,2
2025-03-03,Milk 1L,2
2025-03-04,Milk 1L,0
2025-03-05,Milk 1L,0
2025-03-06,Milk 1L,0
2025-03-07,Milk 1L,2
2025-03-08,Milk 1L,1
2025-03-09,Milk 1L,2
2025-03-10,Milk 1L,1
2025-03-11,Milk 1L,1
2025-03-12,Milk 1L,0
2025-03-13,Milk 1L,3
2025-03-14,Milk 1L,1
2025-03-15,Milk 1L,3
2025-03-16,Milk 1L,5
2025-03-17,Milk 1L,3
2025-03-18,Milk 1L,4
2025-03-19,Milk 1L,0
2025-03-20,Milk 1L,0
2025-03-21,Milk 1L,0
2025-03-22,Milk 1L,0
2025-03-23,Milk 1L,2
2025-03-24,Milk 1L,1
2025-03-25,Milk 1L,3
2025-03-26,Milk 1L,0
2025-03-27,Milk 1L,3
2025-03-28,Milk 1L,0
2025-03-29,Milk 1L,1
2025-03-30,Milk 1L,4
2025-03-31,Milk 1L,3
2025-04-01,Milk 1L,1
2025-04-02,Milk 1L,1
2025-04-03,Milk 1L,0
2025-04-04,Milk 1L,3
2025-04-05,Milk 1L,3
2025-04-06,Milk 1L,3
2025-04-07,Milk 1L,3
2025-04-08,Milk 1L,1
2025-04-09,Milk 1L,0
2025-04-10,Milk 1L,1
2025-04-11,Milk 1L,1
2025-04-12,Milk 1L,0
2025-04-13,Milk 1L,3
2025-04-14,Milk 1L,3
2025-04-15,Milk 1L,0
2025-04-16,Milk 1L,0
2025-04-17,Milk 1L,3
2025-04-18,Milk 1L,1
2025-04-19,Milk 1L,0
2025-04-20,Milk 1L,0
2025-04-21,Milk 1L,1
2025-04-22,Milk 1L,3
2025-04-23,Milk 1L,2
2025-04-24,Milk 1L,2
2025-04-25,Milk 1L,0
2025-04-26,Milk 1L,1
2025-04-27,Milk 1L,3
2025-04-28,Milk 1L,1
2025-04-29,Milk 1L,3
2025-04-30,Milk 1L,0
