inventory_id,date,opening_stock,closing_stock,quantity_consumed,quantity_restocked,vendor_id,lead_time_days,department_count,min_stock,max_capacity,item_name,category,form,use,item_type,out_of_stock,low_stock
INV0001,2025-12-31,77,20,4275,9058,V009,2.0,2,39,201,Milk 1L,Beverage,Pack,Food,Non-Perishable,True,True
INV0002,2025-12-31,160,23,3598,8212,V004,3.0,3,21,453,Cheddar Cheese,Snack,Pack,Food,Perishable,True,True
INV0003,2025-12-31,241,9,4369,8865,V009,3.0,1,25,339,Yogurt,Bakery,Solid,Food,Perishable,True,True
INV0004,2025-12-31,274,63,4241,8690,V003,6.0,5,41,236,Banana,Snack,Pack,Food,Non-Perishable,True,True
INV0005,2025-12-31,246,23,4666,9447,V007,1.0,1,30,359,Apple,Snack,Pack,Non-Food,Perishable,True,True
INV0006,2025-12-31,110,20,4174,9046,V006,5.0,3,35,208,Bread Loaf,Produce,Liquid,Food,Non-Perishable,True,True
INV0007,2025-12-31,97,45,4475,9258,V008,2.0,1,35,432,Bagel,Bakery,Solid,Non-Food,Non-Perishable,False,True
INV0008,2025-12-31,196,35,4230,8679,V009,3.0,3,20,298,Orange Juice,Bakery,Liquid,Food,Non-Perishable,True,True
INV0009,2025-12-31,53,66,4341,9079,V005,4.0,5,28,346,Soda Can,Bakery,Liquid,Non-Food,Perishable,True,True
INV0010,2025-12-31,84,16,4480,9453,V001,2.0,2,47,407,Chocolate Bar,Snack,Liquid,Food,Perishable,True,True
INV0011,2025-12-31,241,10,4377,8955,V003,2.0,4,46,330,Eggs Dozen,Beverage,Liquid,Food,Perishable,True,True
INV0012,2025-12-31,98,22,4742,9549,V010,2.0,1,25,351,Butter 250g,Bakery,Liquid,Non-Food,Perishable,True,True
INV0013,2025-12-31,66,25,4288,8898,V008,4.0,1,35,253,Cereal Box,Snack,Liquid,Non-Food,Perishable,True,True
INV0014,2025-12-31,221,36,4500,8951,V006,6.0,4,48,319,Tomato,Produce,Liquid,Non-Food,Perishable,True,True
INV0015,2025-12-31,269,56,4301,8918,V008,3.0,2,22,360,Potato,Beverage,Solid,Food,Perishable,True,True
INV0016,2025-12-31,207,17,4369,8946,V009,4.0,3,39,315,Carrot,Produce,Pack,Non-Food,Non-Perishable,True,True
INV0017,2025-12-31,270,5,4661,9417,V004,4.0,5,47,274,Frozen Peas,Beverage,Liquid,Food,Perishable,True,True
INV0018,2025-12-31,95,20,4095,8872,V001,2.0,4,46,312,Chicken Breast,Snack,Liquid,Food,Non-Perishable,True,True
INV0019,2025-12-31,166,8,3929,8331,V001,5.0,3,23,303,Beef Steak,Dairy,Liquid,Non-Food,Perishable,True,True
INV0020,2025-12-31,55,36,4343,8983,V010,3.0,2,38,453,Salmon Fillet,Beverage,Liquid,Non-Food,Perishable,True,True
INV0021,2025-12-31,148,18,4187,8897,V004,2.0,3,45,426,Rice 1kg,Produce,Liquid,Food,Perishable,True,True
INV0022,2025-12-31,173,31,4697,9464,V007,2.0,3,22,311,Pasta 500g,Snack,Liquid,Food,Non-Perishable,True,True
INV0023,2025-12-31,282,48,4975,9730,V002,1.0,2,38,298,Olive Oil 500ml,Beverage,Pack,Non-Food,Non-Perishable,True,True
INV0024,2025-12-31,86,44,4639,9229,V003,6.0,4,39,352,Coffee Beans,Dairy,Pack,Non-Food,Non-Perishable,True,True
INV0025,2025-12-31,73,32,4293,8949,V001,6.0,2,26,393,Tea Pack,Dairy,Liquid,Non-Food,Non-Perishable,True,True
INV0026,2025-12-31,142,34,4346,9136,V005,5.0,5,39,362,Sugar 1kg,Bakery,Pack,Food,Perishable,True,True
INV0027,2025-12-31,290,28,4385,8993,V001,4.0,1,28,407,Salt 500g,Bakery,Solid,Food,Non-Perishable,True,True
INV0028,2025-12-31,95,61,3494,8011,V008,5.0,1,20,368,Flour 1kg,Produce,Liquid,Food,Perishable,True,True
INV0029,2025-12-31,230,71,4188,8894,V001,6.0,1,27,360,Lettuce,Beverage,Solid,Food,Perishable,True,True
INV0030,2025-12-31,144,18,3612,7999,V001,2.0,5,26,267,Cucumber,Beverage,Solid,Food,Non-Perishable,True,True
INV0031,2025-12-31,148,64,4434,9012,V002,1.0,1,37,488,Onion,Bakery,Liquid,Food,Non-Perishable,True,True
INV0032,2025-12-31,237,3,4249,8858,V002,1.0,1,27,476,Garlic,Beverage,Pack,Non-Food,Non-Perishable,True,True
INV0033,2025-12-31,274,54,4854,9066,V006,1.0,4,20,334,Strawberry Pack,Beverage,Solid,Food,Non-Perishable,True,True
INV0034,2025-12-31,165,16,4083,8667,V007,2.0,3,30,394,Blueberry Pack,Dairy,Liquid,Food,Non-Perishable,True,True
INV0035,2025-12-31,240,69,4719,9248,V005,6.0,3,47,327,Mango,Bakery,Solid,Food,Non-Perishable,True,True
INV0036,2025-12-31,262,35,4397,9150,V001,3.0,1,44,232,Orange,Snack,Solid,Non-Food,Non-Perishable,True,True
INV0037,2025-12-31,209,18,4395,9047,V001,1.0,4,44,375,Water Bottle 1L,Bakery,Solid,Food,Non-Perishable,True,True
INV0038,2025-12-31,264,27,4037,8472,V003,4.0,3,37,221,Energy Drink,Snack,Solid,Food,Perishable,True,True
INV0039,2025-12-31,210,19,4767,9406,V002,6.0,1,42,437,Chips Pack,Dairy,Pack,Non-Food,Non-Perishable,True,True
INV0040,2025-12-31,116,99,4289,8954,V005,3.0,1,49,357,Cookies,Produce,Solid,Food,Non-Perishable,True,True
INV0041,2025-12-31,177,91,4170,9099,V010,6.0,3,29,237,Peanut Butter,Beverage,Solid,Food,Perishable,False,True
INV0042,2025-12-31,67,62,4305,9299,V006,1.0,2,22,429,Jam Jar,Dairy,Solid,Food,Non-Perishable,True,True
INV0043,2025-12-31,74,10,4311,9195,V007,3.0,4,26,250,Honey,Beverage,Pack,Food,Perishable,True,True
INV0044,2025-12-31,283,25,4133,8889,V004,2.0,4,47,463,Yogurt Drink,Produce,Solid,Food,Perishable,True,True
INV0045,2025-12-31,272,22,4306,8747,V007,3.0,2,35,482,Frozen Pizza,Produce,Solid,Non-Food,Non-Perishable,True,True
INV0046,2025-12-31,103,63,4218,8879,V008,2.0,4,45,226,Ice Cream,Dairy,Pack,Non-Food,Perishable,True,True
INV0047,2025-12-31,107,44,4631,9250,V001,4.0,3,35,425,Detergent,Produce,Pack,Non-Food,Perishable,True,True
INV0048,2025-12-31,116,43,4123,8913,V006,6.0,5,44,476,Dish Soap,Snack,Pack,Food,Perishable,True,True
INV0049,2025-12-31,153,22,4348,9059,V008,3.0,1,39,485,Paper Towels,Produce,Solid,Food,Perishable,True,True
INV0050,2025-12-31,223,34,4936,9580,V005,1.0,5,47,296,Toilet Paper,Beverage,Pack,Food,Non-Perishable,True,True
