invoice_id,vendor_id,inventory_id,purchase_date,quantity,unit_cost,total_cost,payment_status,account_code,delivery_date
INVX00000000,V009,INV0001,2025-01-01,10,16.38,163.8,Paid,AC2841,2025-01-01
INVX00000100,V009,INV0001,2025-01-02,12,17.85,214.2,Paid,AC6919,2025-01-04
INVX00000101,V009,INV0001,2025-01-02,9,3.95,35.55,Pending,AC2148,2025-01-03
INVX00000200,V009,INV0001,2025-01-03,13,4.69,60.97,Pending,AC5142,2025-01-05
INVX00000201,V009,INV0001,2025-01-03,7,3.63,25.41,Pending,AC5465,2025-01-06
INVX00000300,V009,INV0001,2025-01-04,14,2.78,38.92,Paid,AC8404,2025-01-08
INVX00000301,V009,INV0001,2025-01-04,1,19.14,19.14,Paid,AC1580,2025-01-08
INVX00000400,V009,INV0001,2025-01-05,7,7.58,53.06,Pending,AC5452,2025-01-06
INVX00000500,V009,INV0001,2025-01-06,2,1.5,3.0,Pending,AC7303,2025-01-08
INVX00000501,V009,INV0001,2025-01-06,4,11.93,47.72,Pending,AC3427,2025-01-06
INVX00000502,V009,INV0001,2025-01-06,1,16.41,16.41,Paid,AC6732,2025-01-09
INVX00000600,V009,INV0001,2025-01-07,4,14.16,56.64,Pending,AC1412,2025-01-10
INVX00000601,V009,INV0001,2025-01-07,9,16.27,146.43,Paid,AC9867,2025-01-08
INVX00000602,V009,INV0001,2025-01-07,5,15.26,76.3,Pending,AC3786,2025-01-07
INVX00000700,V009,INV0001,2025-01-08,6,6.66,39.96,Paid,AC1395,2025-01-12
INVX00000800,V009,INV0001,2025-01-09,5,2.74,13.7,Pending,AC8192,2025-01-12
INVX00000801,V009,INV0001,2025-01-09,11,5.04,55.44,Paid,AC2167,2025-01-09
INVX00000900,V009,INV0001,2025-01-10,8,2.38,19.04,Pending,AC7938,2025-01-11
INVX00001000,V009,INV0001,2025-01-11,7,9.06,63.42,Pending,AC5268,2025-01-15
INVX00001001,V009,INV0001,2025-01-11,2,9.9,19.8,Pending,AC7619,2025-01-15
INVX00001100,V009,INV0001,2025-01-12,12,2.4,28.8,Paid,AC7190,2025-01-12
INVX00001101,V009,INV0001,2025-01-12,1,14.22,14.22,Paid,AC4584,2025-01-16
INVX00001102,V009,INV0001,2025-01-12,6,12.1,72.6,Pending,AC9662,2025-01-12
INVX00001200,V009,INV0001,2025-01-13,13,18.31,238.03,Paid,AC6713,2025-01-15
INVX00001300,V009,INV0001,2025-01-14,7,8.81,61.67,Pending,AC3193,2025-01-14
INVX00001400,V009,INV0001,2025-01-15,5,15.38,76.9,Paid,AC8245,2025-01-15
INVX00001500,V009,INV0001,2025-01-16,6,16.8,100.8,Pending,AC5363,2025-01-16
INVX00001501,V009,INV0001,2025-01-16,6,19.39,116.34,Pending,AC8901,2025-01-18
INVX00001600,V009,INV0001,2025-01-17,12,19.63,235.56,Pending,AC7241,2025-01-18
INVX00001601,V009,INV0001,2025-01-17,14,11.54,161.56,Paid,AC2331,2025-01-17
INVX00001700,V009,INV0001,2025-01-18,2,12.8,25.6,Pending,AC5300,2025-01-20
INVX00001800,V009,INV0001,2025-01-19,2,6.29,12.58,Paid,AC7677,2025-01-23
INVX00001900,V009,INV0001,2025-01-20,6,2.55,15.3,Pending,AC3878,2025-01-24
INVX00002000,V009,INV0001,2025-01-21,8,10.21,81.68,Pending,AC9150,2025-01-22
INVX00002001,V009,INV0001,2025-01-21,13,2.18,28.34,Paid,AC6126,2025-01-23
INVX00002002,V009,INV0001,2025-01-21,7,10.72,75.04,Paid,AC2531,2025-01-25
INVX00002100,V009,INV0001,2025-01-22,10,11.17,111.7,Paid,AC7288,2025-01-26
INVX00002101,V009,INV0001,2025-01-22,4,10.01,40.04,Pending,AC9258,2025-01-22
INVX00002200,V009,INV0001,2025-01-23,12,3.42,41.04,Paid,AC3739,2025-01-24
INVX00002300,V009,INV0001,2025-01-24,8,18.04,144.32,Paid,AC9434,2025-01-28
INVX00002301,V009,INV0001,2025-01-24,4,19.95,79.8,Pending,AC8489,2025-01-27
INVX00002302,V009,INV0001,2025-01-24,12,18.43,221.16,Paid,AC9837,2025-01-24
INVX00002400,V009,INV0001,2025-01-25,12,3.18,38.16,Pending,AC2828,2025-01-27
INVX00002500,V009,INV0001,2025-01-26,8,12.52,100.16,Paid,AC8984,2025-01-30
INVX00002501,V009,INV0001,2025-01-26,14,15.17,212.38,Pending,AC2908,2025-01-28
INVX00002502,V009,INV0001,2025-01-26,9,4.9,44.1,Paid,AC3560,2025-01-29
INVX00002600,V009,INV0001,2025-01-27,5,16.48,82.4,Paid,AC1077,2025-01-28
INVX00002700,V009,INV0001,2025-01-28,9,7.75,69.75,Paid,AC5033,2025-02-01
INVX00002800,V009,INV0001,2025-01-29,7,3.72,26.04,Pending,AC3645,2025-01-30
INVX00002801,V009,INV0001,2025-01-29,10,10.39,103.9,Pending,AC7028,2025-02-01
INVX00002802,V009,INV0001,2025-01-29,13,3.42,44.46,Pending,AC4228,2025-02-02
INVX00002900,V009,INV0001,2025-01-30,11,12.38,136.18,Pending,AC7166,2025-01-31
INVX00002901,V009,INV0001,2025-01-30,14,12.68,177.52,Pending,AC8783,2025-01-31
INVX00003000,V009,INV0001,2025-01-31,12,8.11,97.32,Paid,AC6109,2025-02-02
INVX00003100,V009,INV0001,2025-02-01,14,4.54,63.56,Paid,AC3872,2025-02-01
INVX00003101,V009,INV0001,2025-02-01,6,10.86,65.16,Pending,AC3708,2025-02-01
INVX00003200,V009,INV0001,2025-02-02,11,18.54,203.94,Paid,AC9666,2025-02-03
INVX00003201,V009,INV0001,2025-02-02,11,9.59,105.49,Paid,AC5971,2025-02-04
INVX00003300,V009,INV0001,2025-02-03,13,4.5,58.5,Paid,AC2759,2025-02-07
INVX00003301,V009,INV0001,2025-02-03,14,15.25,213.5,Paid,AC1951,2025-02-05
INVX00003302,V009,INV0001,2025-02-03,0,4.9,0.0,Paid,AC5524,2025-02-07
INVX00003400,V009,INV0001,2025-02-04,3,17.37,52.11,Paid,AC5873,2025-02-05
INVX00003500,V009,INV0001,2025-02-05,8,2.89,23.12,Pending,AC6207,2025-02-07
INVX00003501,V009,INV0001,2025-02-05,4,18.94,75.76,Pending,AC7612,2025-02-06
INVX00003502,V009,INV0001,2025-02-05,7,13.03,91.21,Paid,AC3198,2025-02-09
INVX00003600,V009,INV0001,2025-02-06,2,17.36,34.72,Paid,AC6619,2025-02-07
INVX00003700,V009,INV0001,2025-02-07,1,5.9,5.9,Pending,AC2301,2025-02-09
INVX00003800,V009,INV0001,2025-02-08,2,11.53,23.06,Paid,AC8141,2025-02-09
INVX00003801,V009,INV0001,2025-02-08,12,4.92,59.04,Pending,AC1341,2025-02-12
INVX00003900,V009,INV0001,2025-02-09,10,2.3,23.0,Paid,AC6415,2025-02-11
INVX00003901,V009,INV0001,2025-02-09,4,14.66,58.64,Paid,AC2333,2025-02-10
INVX00003902,V009,INV0001,2025-02-09,7,13.61,95.27,Pending,AC7212,2025-02-09
INVX00004000,V009,INV0001,2025-02-10,8,14.84,118.72,Paid,AC1060,2025-02-12
INVX00004100,V009,INV0001,2025-02-11,1,19.05,19.05,Paid,AC8982,2025-02-14
INVX00004200,V009,INV0001,2025-02-12,11,19.77,217.47,Paid,AC9238,2025-02-13
INVX00004201,V009,INV0001,2025-02-12,7,19.99,139.93,Pending,AC8124,2025-02-13
INVX00004202,V009,INV0001,2025-02-12,7,1.64,11.48,Paid,AC8686,2025-02-12
INVX00004300,V009,INV0001,2025-02-13,8,9.38,75.04,Paid,AC9230,2025-02-13
INVX00004301,V009,INV0001,2025-02-13,4,16.02,64.08,Paid,AC8564,2025-02-14
INVX00004302,V009,INV0001,2025-02-13,1,17.83,17.83,Pending,AC9502,2025-02-15
INVX00004400,V009,INV0001,2025-02-14,5,10.12,50.6,Pending,AC4511,2025-02-17
INVX00004401,V009,INV0001,2025-02-14,9,15.6,140.4,Paid,AC9190,2025-02-17
INVX00004500,V009,INV0001,2025-02-15,4,14.6,58.4,Paid,AC8832,2025-02-15
INVX00004501,V009,INV0001,2025-02-15,5,19.77,98.85,Paid,AC5494,2025-02-15
INVX00004600,V009,INV0001,2025-02-16,14,12.42,173.88,Pending,AC2868,2025-02-17
INVX00004601,V009,INV0001,2025-02-16,9,15.12,136.08,Pending,AC6690,2025-02-19
INVX00004602,V009,INV0001,2025-02-16,13,13.34,173.42,Paid,AC4564,2025-02-17
INVX00004700,V009,INV0001,2025-02-17,2,14.22,28.44,Pending,AC9194,2025-02-19
INVX00004701,V009,INV0001,2025-02-17,6,12.84,77.04,Paid,AC5675,2025-02-21
INVX00004800,V009,INV0001,2025-02-18,6,5.94,35.64,Paid,AC6295,2025-02-19
INVX00004801,V009,INV0001,2025-02-18,2,2.54,5.08,Pending,AC4020,2025-02-21
INVX00004802,V009,INV0001,2025-02-18,5,19.84,99.2,Pending,AC1317,2025-02-22
INVX00004900,V009,INV0001,2025-02-19,12,4.01,48.12,Paid,AC1556,2025-02-20
INVX00004901,V009,INV0001,2025-02-19,9,1.56,14.04,Paid,AC8561,2025-02-21
INVX00005000,V009,INV0001,2025-02-20,2,6.45,12.9,Pending,AC2136,2025-02-20
INVX00005001,V009,INV0001,2025-02-20,1,3.2,3.2,Pending,AC5543,2025-02-24
INVX00005002,V009,INV0001,2025-02-20,3,3.44,10.32,Paid,AC6352,2025-02-21
INVX00005100,V009,INV0001,2025-02-21,12,15.24,182.88,Paid,AC6043,2025-02-25
INVX00005200,V009,INV0001,2025-02-22,11,17.49,192.39,Pending,AC1988,2025-02-26
INVX00005201,V009,INV0001,2025-02-22,5,13.13,65.65,Pending,AC2682,2025-02-22
INVX00005202,V009,INV0001,2025-02-22,5,19.7,98.5,Paid,AC1933,2025-02-23
INVX00005300,V009,INV0001,2025-02-23,8,4.03,32.24,Paid,AC6776,2025-02-27
INVX00005301,V009,INV0001,2025-02-23,5,3.92,19.6,Paid,AC4633,2025-02-26
INVX00005302,V009,INV0001,2025-02-23,7,12.9,90.3,Pending,AC7059,2025-02-27
INVX00005400,V009,INV0001,2025-02-24,13,3.84,49.92,Paid,AC9465,2025-02-25
INVX00005401,V009,INV0001,2025-02-24,8,19.52,156.16,Pending,AC7154,2025-02-28
INVX00005402,V009,INV0001,2025-02-24,0,17.34,0.0,Pending,AC4496,2025-02-26
INVX00005500,V009,INV0001,2025-02-25,2,11.15,22.3,Paid,AC2949,2025-02-25
INVX00005600,V009,INV0001,2025-02-26,2,1.78,3.56,Pending,AC2895,2025-02-28
INVX00005601,V009,INV0001,2025-02-26,13,14.42,187.46,Pending,AC3056,2025-02-26
INVX00005602,V009,INV0001,2025-02-26,7,12.65,88.55,Paid,AC9907,2025-02-27
INVX00005700,V009,INV0001,2025-02-27,9,17.56,158.04,Pending,AC4638,2025-03-02
INVX00005800,V009,INV0001,2025-02-28,5,19.93,99.65,Paid,AC9946,2025-03-02
INVX00005801,V009,INV0001,2025-02-28,13,2.37,30.81,Paid,AC1352,2025-03-03
INVX00005900,V009,INV0001,2025-03-01,4,1.56,6.24,Pending,AC6631,2025-03-04
INVX00006000,V009,INV0001,2025-03-02,10,14.6,146.0,Pending,AC1525,2025-03-03
INVX00006001,V009,INV0001,2025-03-02,7,8.85,61.95,Pending,AC5648,2025-03-05
INVX00006002,V009,INV0001,2025-03-02,13,9.46,122.98,Pending,AC3278,2025-03-02
INVX00006100,V009,INV0001,2025-03-03,7,9.62,67.34,Paid,AC4081,2025-03-05
INVX00006200,V009,INV0001,2025-03-04,11,14.99,164.89,Paid,AC4568,2025-03-07
INVX00006300,V009,INV0001,2025-03-05,1,12.11,12.11,Pending,AC5585,2025-03-08
INVX00006400,V009,INV0001,2025-03-06,7,9.64,67.48,Paid,AC7570,2025-03-07
INVX00006500,V009,INV0001,2025-03-07,7,19.59,137.13,Paid,AC7089,2025-03-08
INVX00006600,V009,INV0001,2025-03-08,9,3.03,27.27,Pending,AC5033,2025-03-09
INVX00006700,V009,INV0001,2025-03-09,3,16.35,49.05,Pending,AC2000,2025-03-11
INVX00006701,V009,INV0001,2025-03-09,13,16.54,215.02,Pending,AC9189,2025-03-09
INVX00006800,V009,INV0001,2025-03-10,12,11.42,137.04,Paid,AC9927,2025-03-10
INVX00006801,V009,INV0001,2025-03-10,3,5.32,15.96,Pending,AC8010,2025-03-11
INVX00006802,V009,INV0001,2025-03-10,2,9.81,19.62,Paid,AC7228,2025-03-11
INVX00006900,V009,INV0001,2025-03-11,12,19.15,229.8,Paid,AC9212,2025-03-13
INVX00006901,V009,INV0001,2025-03-11,7,18.04,126.28,Paid,AC6243,2025-03-11
INVX00007000,V009,INV0001,2025-03-12,14,4.44,62.16,Paid,AC8052,2025-03-12
INVX00007100,V009,INV0001,2025-03-13,12,5.33,63.96,Paid,AC1009,2025-03-14
INVX00007101,V009,INV0001,2025-03-13,9,16.96,152.64,Pending,AC7295,2025-03-13
INVX00007200,V009,INV0001,2025-03-14,1,5.12,5.12,Paid,AC9853,2025-03-18
INVX00007201,V009,INV0001,2025-03-14,3,12.53,37.59,Pending,AC9841,2025-03-14
