Transaction_ID,Date,Product_ID,Store_ID,Quantity,Price,Discount,Total_Sales_Amount
T100000,2023-10-24,P0008,S002,138,40.47,0,5584.86
T100001,2023-03-11,P0006,S005,105,18.65,15,1958.2499999999998
T100002,2022-12-10,P0005,S001,70,20.33,15,1423.1
T100003,2022-12-10,P0018,S001,105,98.65,15,10358.25
T100004,2023-01-22,P0012,S002,76,10.04,20,763.04
T100005,2023-02-26,P0012,S001,206,11.27,10,2321.62
T100006,2023-09-29,P0002,S001,87,30.53,15,2656.11
T100007,2022-11-03,P0003,S004,53,50.23,15,2662.19
T100008,2022-08-03,P0020,S002,129,61.78,15,7969.62
T100009,2022-05-02,P0008,S001,55,17.63,0,969.65
T100010,2023-08-09,P0008,S003,9,74.36,15,669.24
T100011,2023-05-16,P0004,S003,128,34.1,20,4364.8
T100012,2023-10-21,P0017,S001,327,71.15,0,23266.050000000003
T100013,2023-04-17,P0018,S003,41,96.03,5,3937.23
T100014,2022-07-27,P0006,S001,71,27.99,15,1987.29
T100015,2023-01-20,P0005,S001,78,81.5,10,6357.0
T100016,2023-05-29,P0003,S004,470,65.92,20,30982.4
T100017,2022-11-02,P0019,S002,137,72.51,20,9933.87
T100018,2022-06-01,P0020,S004,93,39.36,0,3660.48
T100019,2023-06-21,P0007,S001,179,82.95,10,14848.050000000001
T100020,2022-07-08,P0010,S002,273,15.04,20,4105.92
T100021,2022-06-12,P0011,S005,49,79.39,20,3890.11
T100022,2022-11-21,P0013,S003,52,85.28,15,4434.56
T100023,2023-11-26,P0004,S005,258,63.32,20,16336.56
T100024,2022-09-15,P0015,S005,82,63.89,5,5238.9800000000005
T100025,2022-01-08,P0020,S004,59,30.67,15,1809.5300000000002
T100026,2022-02-23,P0006,S003,211,57.73,10,12181.029999999999
T100027,2023-08-02,P0020,S005,11,61.05,15,671.55
T100028,2023-12-05,P0001,S005,8,95.71,15,765.68
T100029,2022-04-03,P0004,S004,120,49.17,0,5900.400000000001
T100030,2022-09-15,P0019,S001,209,33.33,0,6965.969999999999
T100031,2023-09-23,P0015,S005,69,54.68,15,3772.92
T100032,2022-10-04,P0008,S004,326,84.51,0,27550.260000000002
T100033,2022-12-16,P0019,S002,321,54.34,10,17443.14
T100034,2023-07-25,P0003,S005,59,65.55,15,3867.45
T100035,2022-06-03,P0004,S002,428,93.12,10,39855.36
T100036,2023-01-11,P0002,S002,125,81.21,0,10151.25
T100037,2023-03-18,P0011,S003,130,46.24,10,6011.2
T100038,2023-05-04,P0015,S001,268,62.31,10,16699.08
T100039,2023-08-12,P0016,S003,80,81.95,0,6556.0
T100040,2023-11-19,P0019,S001,164,45.29,5,7427.5599999999995
T100041,2022-12-11,P0013,S001,342,69.55,10,23786.1
T100042,2023-06-24,P0006,S005,33,96.05,5,3169.65
T100043,2023-09-21,P0007,S005,130,15.23,20,1979.9
T100044,2022-01-30,P0002,S003,99,74.44,10,7369.5599999999995
T100045,2023-04-29,P0004,S003,78,16.31,10,1272.1799999999998
T100046,2022-07-29,P0020,S003,94,74.95,15,7045.3
T100047,2023-05-01,P0017,S004,151,16.9,15,2551.8999999999996
T100048,2023-06-26,P0018,S005,242,52.47,15,12697.74
T100049,2023-03-21,P0013,S001,14,80.17,10,1122.38
T100050,2023-10-29,P0008,S003,95,18.85,0,1790.7500000000002
T100051,2022-11-01,P0008,S004,75,98.51,10,7388.25
T100052,2022-08-13,P0017,S003,113,24.26,20,2741.38
T100053,2022-10-08,P0008,S003,1,95.6,15,95.6
T100054,2022-08-13,P0009,S001,20,92.72,5,1854.4
T100055,2023-05-20,P0019,S003,306,80.39,5,24599.34
T100056,2022-01-23,P0020,S005,92,11.87,0,1092.04
T100057,2023-05-07,P0015,S002,81,58.26,5,4719.0599999999995
T100058,2023-11-05,P0002,S003,74,63.69,20,4713.0599999999995
T100059,2023-04-18,P0007,S002,76,52.57,5,3995.32
T100060,2023-10-21,P0013,S003,224,75.55,15,16923.2
T100061,2022-03-10,P0016,S004,185,53.52,0,9901.2
T100062,2022-03-09,P0017,S002,138,23.59,5,3255.42
T100063,2023-10-31,P0009,S005,91,34.96,15,3181.36
T100064,2023-01-17,P0010,S001,269,39.09,15,10515.210000000001
T100065,2022-01-02,P0008,S002,42,14.8,15,621.6
T100066,2022-07-25,P0010,S005,63,77.84,5,4903.92
T100067,2023-06-04,P0017,S001,59,23.52,10,1387.68
T100068,2022-04-15,P0005,S002,152,42.18,5,6411.36
T100069,2024-01-01,P0016,S001,13,40.61,10,527.93
T100070,2022-10-02,P0004,S001,83,43.87,5,3641.2099999999996
T100071,2023-05-25,P0017,S004,67,50.35,15,3373.4500000000003
T100072,2022-08-15,P0001,S001,156,95.07,10,14830.919999999998
T100073,2022-05-01,P0019,S002,41,67.76,20,2778.1600000000003
T100074,2022-07-02,P0016,S004,160,77.51,15,12401.6
T100075,2022-08-27,P0020,S002,223,48.18,15,10744.14
T100076,2023-03-10,P0008,S003,250,83.22,15,20805.0
T100077,2022-09-05,P0014,S004,33,82.24,15,2713.9199999999996
T100078,2022-05-28,P0013,S003,33,59.99,15,1979.67
T100079,2023-03-23,P0007,S001,41,89.78,10,3680.98
T100080,2023-05-21,P0013,S002,100,24.49,10,2449.0
T100081,2022-10-14,P0012,S005,410,74.41,0,30508.1
T100082,2022-03-11,P0006,S005,75,76.4,20,5730.0
T100083,2023-06-15,P0001,S001,67,35.35,0,2368.4500000000003
T100084,2023-06-08,P0007,S003,190,79.51,0,15106.900000000001
T100085,2023-05-16,P0013,S003,76,79.55,15,6045.8
T100086,2022-04-25,P0016,S003,87,25.45,20,2214.15
T100087,2023-08-25,P0020,S005,54,60.98,20,3292.9199999999996
T100088,2022-04-20,P0008,S003,56,81.21,15,4547.759999999999
T100089,2023-07-22,P0002,S005,197,76.94,10,15157.18
T100090,2022-02-24,P0012,S005,136,84.55,0,11498.8
T100091,2022-01-25,P0015,S005,188,80.33,20,15102.039999999999
T100092,2024-01-01,P0018,S002,30,32.84,10,985.2
T100093,2023-04-06,P0002,S001,47,19.01,0,893.47
T100094,2023-07-30,P0019,S003,88,92.8,10,8166.4
T100095,2023-06-16,P0001,S004,175,17.57,5,3074.75
T100096,2022-05-12,P0003,S002,99,53.42,5,5288.58
T100097,2022-12-19,P0004,S004,79,45.93,10,3628.47
T100098,2022-12-20,P0018,S005,69,60.58,10,4180.0199999999995
T100099,2023-09-06,P0017,S002,132,42.29,20,5582.28
T100100,2022-01-05,P0005,S005,79,49.08,5,3877.3199999999997
T100101,2023-01-14,P0015,S003,285,22.92,5,6532.200000000001
T100102,2022-04-02,P0016,S002,21,85.6,10,1797.6
T100103,2023-05-30,P0008,S003,33,39.59,10,1306.47
T100104,2022-01-11,P0011,S005,117,86.62,15,10134.54
T100105,2023-04-09,P0012,S003,25,69.31,20,1732.75
T100106,2022-05-23,P0017,S004,28,48.24,15,1350.72
T100107,2022-05-04,P0018,S003,66,56.89,10,3754.7400000000002
T100108,2022-04-15,P0006,S003,422,89.94,20,37954.68
T100109,2023-03-04,P0016,S001,142,78.48,5,11144.16
T100110,2023-02-06,P0016,S002,295,83.87,15,24741.65
T100111,2022-05-16,P0003,S003,370,89.37,15,33066.9
T100112,2023-12-28,P0007,S004,337,74.51,0,25109.870000000003
T100113,2022-03-31,P0010,S001,25,80.1,20,2002.4999999999998
T100114,2023-04-26,P0019,S001,258,16.81,5,4336.98
T100115,2022-01-17,P0017,S005,173,82.4,15,14255.2
T100116,2023-09-04,P0004,S001,283,69.63,10,19705.289999999997
T100117,2022-04-07,P0015,S002,189,55.14,10,10421.460000000001
T100118,2023-04-18,P0001,S003,35,86.22,15,3017.7
T100119,2022-07-07,P0017,S001,151,77.86,15,11756.86
T100120,2022-09-06,P0006,S002,306,46.53,0,14238.18
T100121,2023-11-28,P0002,S001,40,64.76,15,2590.4
T100122,2023-07-29,P0003,S005,184,12.02,15,2211.68
T100123,2023-11-01,P0014,S005,118,29.07,5,3430.26
T100124,2022-12-29,P0004,S002,59,46.65,5,2752.35
T100125,2023-04-10,P0017,S001,82,85.77,10,7033.139999999999
T100126,2022-12-17,P0020,S005,103,96.49,20,9938.47
T100127,2022-09-21,P0011,S001,117,60.99,0,7135.83
