Supplier_ID,Supplier_Name,Lead_Time_Days,Vendor_Rating,Contact_Email
43-348-2450,Eimbee,9,5.0,eimbee@vendor.com
04-854-7165,Digitube,6,4.2,digitube@vendor.com
82-995-0739,BlogXS,13,3.5,blogxs@vendor.com
22-867-3079,Avaveo,10,3.2,avaveo@vendor.com
24-281-7685,Katz,7,3.3,katz@vendor.com
75-849-4524,Yata,9,3.5,yata@vendor.com
23-274-3305,Lazz,12,3.3,lazz@vendor.com
00-900-0119,Zoonder,5,3.4,zoonder@vendor.com
96-353-3049,Oozz,9,3.6,oozz@vendor.com
31-524-1628,Jaxnation,13,3.3,jaxnation@vendor.com
93-877-9384,Gabcube,13,4.8,gabcube@vendor.com
54-919-9424,Dabtype,10,3.2,dabtype@vendor.com
02-656-3112,Flashdog,7,4.0,flashdog@vendor.com
91-589-9007,Devshare,6,3.8,devshare@vendor.com
55-838-9088,Cogilith,10,5.0,cogilith@vendor.com
25-706-2146,Roodel,10,3.2,roodel@vendor.com
06-151-9076,Bluezoom,5,3.8,bluezoom@vendor.com
05-719-6858,Skimia,8,4.9,skimia@vendor.com
11-742-5033,Blogpad,7,4.7,blogpad@vendor.com
43-979-2253,Dabjam,4,4.6,dabjam@vendor.com
54-470-2479,Feedmix,10,3.5,feedmix@vendor.com
26-061-5253,Trupe,14,3.3,trupe@vendor.com
47-509-7282,Meevee,8,4.3,meevee@vendor.com
49-384-4540,Blogpad,4,4.9,blogpad@vendor.com
36-451-3173,Topicware,14,4.1,topicware@vendor.com
42-201-4495,Plajo,7,4.1,plajo@vendor.com
67-404-3362,Skyndu,3,3.6,skyndu@vendor.com
33-466-7894,Yotz,14,4.5,yotz@vendor.com
68-230-9130,Vinder,12,3.4,vinder@vendor.com
43-575-2151,Geba,8,3.6,geba@vendor.com
80-328-4990,Dazzlesphere,14,3.9,dazzlesphere@vendor.com
87-032-6971,Kanoodle,11,4.0,kanoodle@vendor.com
41-825-5869,Eimbee,3,3.5,eimbee@vendor.com
16-019-7101,Centimia,13,3.2,centimia@vendor.com
56-823-5908,Livefish,13,4.2,livefish@vendor.com
65-620-9866,Quatz,12,3.6,quatz@vendor.com
99-864-0256,Rhyloo,14,4.2,rhyloo@vendor.com
